estrato;DS_CARGO;perfil_cluster;candidatos_cluster_cargo;eleitos_cluster_cargo;taxa_cluster_cargo;candidatos_estrato_cargo;eleitos_estrato_cargo;taxa_estrato_cargo;indice_vs_estrato_cargo;delta_pp_vs_estrato_cargo;participacao_candidatos_estrato_cargo;participacao_eleitos_estrato_cargo;patrimonio_mediano_cluster_cargo
03_medio_alto;DEPUTADO ESTADUAL;Patrimônio médio-alto - imobiliário + veicular com veicular e societário;238;26;0.1092436974789916;2244;254;0.11319073083778966;0.9651293588301463;-0.3947033358798063;0.10606060606060606;0.10236220472440945;486672.86
02_medio_baixo;DEPUTADO ESTADUAL;Patrimônio médio-baixo - rural/agropecuário + imobiliário;131;6;0.04580152671755725;2497;119;0.04765718862635162;0.9610622875104241;-0.18556619087943677;0.05246295554665599;0.05042016806722689;195300.0
04_alto;DEPUTADO ESTADUAL;Alto patrimônio - imobiliário concentrado com financeiro e outros ativos;254;56;0.2204724409448819;2114;511;0.24172185430463577;0.9120914680185525;-2.1249413359753886;0.12015137180700095;0.1095890410958904;1200000.0
04_alto;DEPUTADO FEDERAL;Alto patrimônio - imobiliário diversificado com rural/agropecuário e societário;164;23;0.1402439024390244;1811;282;0.15571507454445058;0.9006443521882028;-1.5471172105426172;0.09055770292655992;0.08156028368794327;2125669.66
01_baixo;DEPUTADO ESTADUAL;Baixo patrimônio - imobiliário concentrado;455;9;0.01978021978021978;3142;72;0.022915340547422024;0.8631868131868131;-0.3135120767202244;0.14481222151495862;0.125;60000.0
04_alto;DEPUTADO FEDERAL;Alto patrimônio - imobiliário + rural/agropecuário;254;34;0.13385826771653545;1811;282;0.15571507454445058;0.8596358965767578;-2.185680682791513;0.14025400331308668;0.12056737588652482;1583950.0
02_medio_baixo;DEPUTADO FEDERAL;Patrimônio médio-baixo - rural/agropecuário + imobiliário;69;2;0.028985507246376812;1431;49;0.03424178895877009;0.8464951197870452;-0.5256281712393281;0.04821802935010482;0.04081632653061224;200574.72
04_alto;DEPUTADO ESTADUAL;Alto patrimônio - imobiliário + rural/agropecuário;325;64;0.19692307692307692;2114;511;0.24172185430463577;0.8146680716543729;-4.479877738155885;0.15373699148533584;0.12524461839530332;1435638.26
03_medio_alto;DEPUTADO FEDERAL;Patrimônio médio-alto - rural/agropecuário + imobiliário;146;8;0.0547945205479452;1522;110;0.07227332457293036;0.7581569115815691;-1.7478804024985153;0.09592641261498029;0.07272727272727272;493876.46
01_baixo;DEPUTADO FEDERAL;Baixo patrimônio - dinheiro em espécie concentrado;135;2;0.014814814814814815;1935;39;0.020155038759689922;0.7350427350427351;-0.5340223944875107;0.06976744186046512;0.05128205128205128;12500.0
