SG_UF;perfil_cluster;candidatos_cluster_uf;eleitos_cluster_uf;taxa_cluster_uf;candidatos_uf;eleitos_uf;taxa_uf;indice_vs_uf;delta_pp_vs_uf;participacao_candidatos_uf;participacao_eleitos_uf;patrimonio_mediano_cluster_uf
RS;Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;56;3;0.05357142857142857;975;90;0.09230769230769231;0.5803571428571428;-3.8736263736263745;0.057435897435897436;0.03333333333333333;201000.0
MA;Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;49;3;0.061224489795918366;575;63;0.10956521739130434;0.5587949465500486;-4.834072759538597;0.08521739130434783;0.047619047619047616;505000.0
SE;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie;37;2;0.05405405405405406;322;32;0.09937888198757763;0.543918918918919;-4.532482793352358;0.11490683229813664;0.0625;25000.0
RO;Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;26;1;0.038461538461538464;454;33;0.07268722466960352;0.5291375291375292;-3.422568620806506;0.05726872246696035;0.030303030303030304;169465.5
RS;Patrimônio médio-alto - imobiliário + veicular com veicular e societário;41;2;0.04878048780487805;975;90;0.09230769230769231;0.5284552845528455;-4.352720450281426;0.04205128205128205;0.022222222222222223;489996.87
MG;Alto patrimônio - imobiliário concentrado com veicular e outros ativos;74;3;0.04054054054054054;1668;133;0.07973621103117506;0.5084332452753505;-3.919567049063452;0.04436450839328537;0.022556390977443608;1230172.5
MG;Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;124;5;0.04032258064516129;1668;133;0.07973621103117506;0.5056997332039777;-3.9413630386013776;0.07434052757793765;0.03759398496240601;434000.0
MG;Patrimônio médio-baixo - societário + veicular;25;1;0.04;1668;133;0.07973621103117506;0.5016541353383458;-3.973621103117506;0.01498800959232614;0.007518796992481203;154000.0
CE;Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;35;2;0.05714285714285714;611;71;0.11620294599018004;0.49175050301810863;-5.90600888473229;0.057283142389525366;0.028169014084507043;170000.0
RO;Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;28;1;0.03571428571428571;454;33;0.07268722466960352;0.49134199134199136;-3.697293895531781;0.06167400881057269;0.030303030303030304;422000.0
SC;Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;55;2;0.03636363636363636;752;56;0.07446808510638298;0.4883116883116883;-3.8104448742746615;0.07313829787234043;0.03571428571428571;472354.0
