perfil_cluster;SG_UF;candidatos_cluster_uf;candidatos_cluster_total;candidatos_uf;perc_cluster_na_uf;perc_uf_no_cluster
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;MG;95;1033;1668;0.09196515004840271;0.05695443645083933
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;RJ;79;1033;1432;0.07647628267182963;0.055167597765363126
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;BA;67;1033;999;0.06485963213939981;0.06706706706706707
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;PR;62;1033;1154;0.060019361084220714;0.053726169844020795
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;RS;51;1033;975;0.049370764762826716;0.052307692307692305
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;GO;50;1033;766;0.0484027105517909;0.06527415143603134
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;MA;44;1033;575;0.04259438528557599;0.07652173913043478
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;PB;41;1033;413;0.03969022265246854;0.09927360774818401
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;SC;36;1033;752;0.03484995159728945;0.047872340425531915
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;CE;35;1033;611;0.03388189738625363;0.057283142389525366
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;AM;33;1033;398;0.031945788964181994;0.0829145728643216
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;PE;32;1033;572;0.030977734753146177;0.055944055944055944
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;PA;30;1033;556;0.02904162633107454;0.0539568345323741
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;MS;27;1033;394;0.026137463697967087;0.06852791878172589
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;SE;27;1033;322;0.026137463697967087;0.08385093167701864
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;AP;25;1033;267;0.02420135527589545;0.09363295880149813
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;TO;25;1033;411;0.02420135527589545;0.06082725060827251
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;DF;24;1033;606;0.023233301064859633;0.039603960396039604
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;AC;22;1033;281;0.021297192642787996;0.07829181494661921
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;ES;21;1033;481;0.02032913843175218;0.04365904365904366
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;RN;19;1033;356;0.018393030009680542;0.05337078651685393
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;RR;19;1033;343;0.018393030009680542;0.05539358600583091
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;MT;18;1033;380;0.017424975798644726;0.04736842105263158
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;RO;17;1033;454;0.016456921587608905;0.037444933920704845
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;PI;14;1033;262;0.013552758954501452;0.05343511450381679
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;AL;9;1033;239;0.008712487899322363;0.03765690376569038
