variavel;estrato;perfil_cluster;categoria;eleitos_cluster_categoria;eleitos_cluster;perc_eleitos_cluster
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;POLICIAL CIVIL;1;77;0.012987012987012988
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;PROFESSOR DE ENSINO FUNDAMENTAL;1;77;0.012987012987012988
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;PROFESSOR DE ENSINO MÉDIO;1;77;0.012987012987012988
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL;1;77;0.012987012987012988
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;REPRESENTANTE COMERCIAL;1;77;0.012987012987012988
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;SOCIÓLOGO;1;77;0.012987012987012988
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;VETERINÁRIO;1;77;0.012987012987012988
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;DEPUTADO;33;74;0.44594594594594594
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;EMPRESÁRIO;13;74;0.17567567567567569
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;ADVOGADO;5;74;0.06756756756756757
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;MÉDICO;4;74;0.05405405405405406
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;VEREADOR;4;74;0.05405405405405406
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;JORNALISTA E REDATOR;3;74;0.04054054054054054
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;OUTROS;2;74;0.02702702702702703
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;ADMINISTRADOR;1;74;0.013513513513513514
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;ENFERMEIRO;1;74;0.013513513513513514
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;ENGENHEIRO;1;74;0.013513513513513514
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;ESCRITOR E CRÍTICO;1;74;0.013513513513513514
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;NUTRICIONISTA E ASSEMELHADOS;1;74;0.013513513513513514
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;PECUARISTA;1;74;0.013513513513513514
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;POLICIAL MILITAR;1;74;0.013513513513513514
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL;1;74;0.013513513513513514
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;SERVIDOR PÚBLICO ESTADUAL;1;74;0.013513513513513514
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;SERVIDOR PÚBLICO FEDERAL;1;74;0.013513513513513514
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;DEPUTADO;18;34;0.5294117647058824
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;ADMINISTRADOR;3;34;0.08823529411764706
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;ADVOGADO;3;34;0.08823529411764706
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;VEREADOR;2;34;0.058823529411764705
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;CIENTISTA POLÍTICO;1;34;0.029411764705882353
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;GOVERNADOR;1;34;0.029411764705882353
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;HISTORIADOR;1;34;0.029411764705882353
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;MÉDICO;1;34;0.029411764705882353
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;OUTROS;1;34;0.029411764705882353
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;PROFESSOR DE ENSINO MÉDIO;1;34;0.029411764705882353
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;1;34;0.029411764705882353
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;TRABALHADOR METALÚRGICO E SIDERÚRGICO;1;34;0.029411764705882353
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - societário + veicular;EMPRESÁRIO;7;21;0.3333333333333333
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - societário + veicular;DEPUTADO;5;21;0.23809523809523808
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - societário + veicular;ADVOGADO;2;21;0.09523809523809523
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - societário + veicular;OUTROS;2;21;0.09523809523809523
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - societário + veicular;VEREADOR;2;21;0.09523809523809523
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - societário + veicular;COMERCIANTE;1;21;0.047619047619047616
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - societário + veicular;DONA DE CASA;1;21;0.047619047619047616
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - societário + veicular;JORNALISTA E REDATOR;1;21;0.047619047619047616
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - veicular + financeiro;DEPUTADO;23;48;0.4791666666666667
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - veicular + financeiro;OUTROS;6;48;0.125
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - veicular + financeiro;VEREADOR;5;48;0.10416666666666667
DS_OCUPACAO;02_medio_baixo;Patrimônio médio-baixo - veicular + financeiro;ADVOGADO;3;48;0.0625
