SQ_CANDIDATO;valor_ativos_financeiros;valor_bens_luxo_colecao;valor_creditos_direitos;valor_dinheiro_especie;valor_direitos_intangiveis;valor_imoveis;valor_outros;valor_outros_atividade_profissional;valor_participacoes_societarias;valor_rural_agropecuario;valor_veiculos;perc_ativos_financeiros;perc_bens_luxo_colecao;perc_creditos_direitos;perc_dinheiro_especie;perc_direitos_intangiveis;perc_imoveis;perc_outros;perc_outros_atividade_profissional;perc_participacoes_societarias;perc_rural_agropecuario;perc_veiculos;qtd_bens;qtd_macros_presentes;indice_concentracao_macro;patrimonio_total
10001614197;0.0;0.0;0.0;0.0;0.0;960000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;960000.0
10001614198;0.0;0.0;0.0;0.0;0.0;250000.0;0.0;0.0;0.0;0.0;75632.0;0.0;0.0;0.0;0.0;0.0;0.7677378144654088;0.0;0.0;0.0;0.0;0.2322621855345912;4;2;0.6433670745894273;325632.0
10001614244;0.0;0.0;0.0;0.0;0.0;370000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;370000.0
10001616168;0.0;0.0;0.0;0.0;0.0;541216.58;0.0;0.0;0.0;0.0;96269.05;0.0;0.0;0.0;0.0;0.0;0.8489863214642187;0.0;0.0;0.0;0.0;0.15101367853578126;7;2;0.7435829051382541;637485.63
10001616169;74567.95999999999;0.0;0.0;0.0;0.0;3493457.9299999997;0.0;0.0;17520.77;0.0;78350.0;0.020352091480658738;0.0;0.0;0.0;0.0;0.9534815673540312;0.0;0.0;0.004782004413847196;0.0;0.021384336751462854;19;4;0.9100214643360511;3663896.6599999997
10001619990;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3095000.0;0.0;195000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9407294832826748;0.0;0.05927051671732523;4;2;0.8884849548692271;3290000.0
10001619991;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;11000.0
10001619992;4357.37;0.0;0.0;0.0;0.0;567000.0;0.0;0.0;0.0;0.0;258000.0;0.005253911230088906;0.0;0.0;0.0;0.0;0.6836618573727753;0.0;0.0;0.0;0.0;0.3110842313971358;6;3;0.5641945378335533;829357.37
10001619993;230991.62;0.0;50361.41;0.0;0.0;400000.0;0.0;0.0;49000.0;0.0;289000.0;0.22660610524697217;0.0;0.049405268359284715;0.0;0.0;0.3924057595630044;0.0;0.0;0.048069705546468035;0.0;0.2835131612842707;13;5;0.29046389682779816;1019353.03
10001619994;20236.67;0.0;0.0;0.0;0.0;175678.15;0.0;0.0;98039.0;200000.0;345000.0;0.024121315759668388;0.0;0.0;0.0;0.0;0.20940145430173973;0.0;0.0;0.11685863710591364;0.23839214415878096;0.4112264486738972;12;5;0.2840247544894792;838953.8200000001
10001619996;0.0;0.0;0.0;0.0;0.0;900000.0;0.0;0.0;0.0;0.0;38000.0;0.0;0.0;0.0;0.0;0.0;0.9594882729211087;0.0;0.0;0.0;0.0;0.04051172707889126;2;2;0.9222589459040467;938000.0
10001621643;0.0;0.0;0.0;0.0;0.0;360000.0;0.0;0.0;0.0;0.0;40000.0;0.0;0.0;0.0;0.0;0.0;0.9;0.0;0.0;0.0;0.0;0.1;2;2;0.8200000000000001;400000.0
10001621644;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1;1;1.0;25000.0
10001621645;107102.28;0.0;0.0;0.0;0.0;66599.28;0.0;0.0;166500.0;0.0;119470.0;0.23299740362444873;0.0;0.0;0.0;0.0;0.14488449100483833;0.0;0.0;0.3622151433514834;0.0;0.2599029620192296;9;4;0.27402866556897015;459671.56
10001621646;44.81;0.0;0.0;0.0;0.0;1080000.0;0.0;0.0;0.0;0.0;279554.0;3.295825185372147e-05;0.0;0.0;0.0;0.0;0.79435197505064;0.0;0.0;0.0;0.0;0.20561506669750615;7;3;0.673272617006119;1359598.81
10001621647;5412.57;0.0;29257.52;0.0;0.0;0.0;0.0;0.0;100000.0;0.0;140000.0;0.01970571313389092;0.0;0.10651876948087069;0.0;0.0;0.0;0.0;0.0;0.3640731322438494;0.0;0.5097023851413891;5;4;0.40408033042250247;274670.08999999997
10001621648;0.0;0.0;0.0;0.0;0.0;100000.0;0.0;0.0;0.0;0.0;30000.0;0.0;0.0;0.0;0.0;0.0;0.7692307692307693;0.0;0.0;0.0;0.0;0.23076923076923078;2;2;0.6449704142011835;130000.0
10001621649;505500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3960000.0;0.0;0.0;0.11320120927107827;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8867987907289218;0.0;0.0;2;2;0.7992266090187123;4465500.0
10001621650;57359.740000000005;0.0;24201.14;0.0;0.0;1969097.22;0.0;0.0;0.0;550000.0;15000.0;0.02192937219126613;0.0;0.00925240955612662;0.0;0.0;0.7528113938132815;0.0;0.0;0.0;0.21027212998518421;0.005734694454141388;15;5;0.6115387544713816;2615658.1
10001621651;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3470000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;8;1;1.0;3470000.0
10001622405;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;400000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;400000.0
10001622406;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;10000.0
10001622407;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100000.0;53000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6535947712418301;0.3464052287581699;4;2;0.5471827075056602;153000.0
10001622408;0.0;0.0;0.0;0.0;0.0;1250000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2;1;1.0;1250000.0
10001622411;0.0;0.0;0.0;0.0;0.0;100000.0;0.0;0.0;0.0;0.0;15000.0;0.0;0.0;0.0;0.0;0.0;0.8695652173913043;0.0;0.0;0.0;0.0;0.13043478260869565;2;2;0.7731568998109641;115000.0
10001622412;0.0;0.0;250000.0;0.0;0.0;0.0;0.0;0.0;8852992.97;0.0;180000.0;0.0;0.0;0.026930969441421433;0.0;0.0;0.0;0.0;0.0;0.9536787325607551;0.0;0.019390297997823432;9;3;0.9106043857101874;9282992.97
10001622413;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;5000.0
